stratum,relation_id,reviewer_b_status,reviewer_b_id,reviewer_b_date,reviewer_b_reason
commentary_support,REL_02688,,,,
commentary_support,REL_03270,,,,
commentary_support,REL_01830,,,,
commentary_support,REL_02289,,,,
commentary_support,REL_03004,,,,
commentary_support,REL_03417,,,,
commentary_support,REL_01982,,,,
commentary_support,REL_02808,,,,
commentary_support,REL_02675,,,,
commentary_support,REL_03303,,,,
commentary_support,REL_02267,,,,
commentary_support,REL_01971,,,,
commentary_support,REL_03465,,,,
commentary_support,REL_02321,,,,
commentary_support,REL_03940,,,,
commentary_support,REL_01873,,,,
commentary_support,REL_04162,,,,
commentary_support,REL_03025,,,,
commentary_support,REL_03889,,,,
commentary_support,REL_02357,,,,
commentary_support,REL_04158,,,,
commentary_support,REL_03608,,,,
commentary_support,REL_02858,,,,
commentary_support,REL_03581,,,,
commentary_support,REL_03753,,,,
commentary_support,REL_03718,,,,
commentary_support,REL_01981,,,,
commentary_support,REL_02406,,,,
commentary_support,REL_01455,,,,
commentary_support,REL_03194,,,,
commentary_support,REL_03289,,,,
commentary_support,REL_03843,,,,
commentary_support,REL_03060,,,,
commentary_support,REL_02095,,,,
commentary_support,REL_01609,,,,
commentary_support,REL_01707,,,,
commentary_support,REL_02396,,,,
commentary_support,REL_01729,,,,
commentary_support,REL_04105,,,,
commentary_support,REL_02602,,,,
commentary_support,REL_02901,,,,
commentary_support,REL_01952,,,,
commentary_support,REL_01953,,,,
commentary_support,REL_01645,,,,
commentary_support,REL_03293,,,,
commentary_support,REL_03308,,,,
commentary_support,REL_02477,,,,
commentary_support,REL_02461,,,,
commentary_support,REL_03609,,,,
commentary_support,REL_02244,,,,
commentary_support,REL_04188,,,,
commentary_support,REL_03659,,,,
commentary_support,REL_02481,,,,
commentary_support,REL_03948,,,,
commentary_support,REL_04006,,,,
commentary_support,REL_02856,,,,
commentary_support,REL_03414,,,,
commentary_support,REL_03427,,,,
commentary_support,REL_03816,,,,
commentary_support,REL_01413,,,,
commentary_support,REL_02326,,,,
commentary_support,REL_02032,,,,
commentary_support,REL_03053,,,,
commentary_support,REL_03547,,,,
commentary_support,REL_02210,,,,
commentary_support,REL_01869,,,,
commentary_support,REL_03322,,,,
commentary_support,REL_04280,,,,
commentary_support,REL_02754,,,,
commentary_support,REL_02233,,,,
commentary_support,REL_04098,,,,
commentary_support,REL_03508,,,,
commentary_support,REL_02568,,,,
commentary_support,REL_02951,,,,
commentary_support,REL_01572,,,,
commentary_support,REL_01382,,,,
commentary_support,REL_01423,,,,
commentary_support,REL_03021,,,,
commentary_support,REL_03196,,,,
commentary_support,REL_02001,,,,
commentary_support,REL_02312,,,,
commentary_support,REL_03658,,,,
commentary_support,REL_03162,,,,
commentary_support,REL_03041,,,,
commentary_support,REL_03590,,,,
commentary_support,REL_01631,,,,
commentary_support,REL_01389,,,,
commentary_support,REL_03212,,,,
commentary_support,REL_01725,,,,
commentary_support,REL_04061,,,,
commentary_support,REL_02979,,,,
commentary_support,REL_01395,,,,
commentary_support,REL_02635,,,,
commentary_support,REL_03543,,,,
commentary_support,REL_02157,,,,
commentary_support,REL_02469,,,,
commentary_support,REL_03128,,,,
commentary_support,REL_03113,,,,
commentary_support,REL_02592,,,,
commentary_support,REL_03407,,,,
commentary_support,REL_02929,,,,
commentary_support,REL_02945,,,,
commentary_support,REL_04133,,,,
commentary_support,REL_02959,,,,
commentary_support,REL_03584,,,,
commentary_support,REL_01623,,,,
commentary_support,REL_03651,,,,
commentary_support,REL_02335,,,,
commentary_support,REL_02098,,,,
commentary_support,REL_02514,,,,
commentary_support,REL_02362,,,,
commentary_support,REL_02563,,,,
commentary_support,REL_02517,,,,
commentary_support,REL_02581,,,,
commentary_support,REL_02710,,,,
